Search terms report
"September 20, 2025 - October 3, 2025"
Search term,Match type,Added/Excluded,Campaign,Ad group,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
brooklyn bridge capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
citizens home loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bg solutions mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage brokers fl,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.51,0.51,Search,0.00%,0.00,0.00
business loans for start up,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lenders california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital finance,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cb loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
forward funding,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan on mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
top lending mortgage companies,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
pennymac commercial real estate finance,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial lending process,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
forgivable equity builder loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage and finance broker,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans to stop foreclosure,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
secure one capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
new jersey lenders mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
velocity commercial capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bluprint home loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
the loan store,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
financing for home improvement,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
co op mortgage loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders in california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
working capital solutions for small businesses,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,23.04,23.04,Search,0.00%,0.00,0.00
home lending companies,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
getting a home loan as a contractor,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan to buy a home,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loan requirements,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mega capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
llc mortgage loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan program,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loans las vegas,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lender company,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
what is a dscr loan in real estate,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private finance against property,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,5.42,5.42,Search,0.00%,0.00,0.00
mortgage professional,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
torro funding group,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lenders san diego,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quality loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
business loans for a new business,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lender borrower,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage products,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
midwest loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money real estate lenders,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get approved for mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage approval,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
self employed loans,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial construction loan calculator,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,4.64,4.64,Search,0.00%,0.00,0.00
refinance investment property rate,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lending mortgages,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
non qm mortgage lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital mortgage california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
acg funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,6.62,6.62,Search,0.00%,0.00,0.00
contingent financing,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial loan mortgage rates,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private money real estate loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.73,0.73,Search,0.00%,0.00,0.00
newfi,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,9.35,9.35,Search,0.00%,0.00,0.00
cv3,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
forward lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
coldesina capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr meaning,Exact match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
center street lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
vig private lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan rates,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridgecore capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
e mortgage capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
seek capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
torro funding,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital stacking loan requirements,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans in commercial bank,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usa capital lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cp loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
best 2nd mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
broker mortgage loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
construction to permanent loan california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money,Broad match,Added,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial bank loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial real estate loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
seller finance,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan meaning,Phrase match,None,Capital Bridge Solutions,DSCR Loans,5,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
crestline funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
rental properties loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
whats a dscr loan,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
ad mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
griffin funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,4,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
local mortgage lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
ca mortgage lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
debt coverage service ratio loan,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,11.83,11.83,Search,0.00%,0.00,0.00
construction loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,5,2,40.00%,USD,0.85,1.69,Search,0.00%,0.00,0.00
private lenders home loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
coop mortgage loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan payment calculator,Phrase match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
fci lender services inc,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
where to get a home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage companies in ca,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california mortgage lender,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan officer,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get preapproved for a mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
apartment loan interest rates,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home and renovation loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
crane finance loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hidden meadow lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital direct lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cv lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lender application,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.27,0.27,Search,0.00%,0.00,0.00
aapl private lenders,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
construction to permanent loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for house,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to apply for a mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
residential primary mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
housing loans near me,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.41,0.41,Search,0.00%,0.00,0.00
standard mortgage financial services,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,6.33,6.33,Search,0.00%,0.00,0.00
westcapitallending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,6.32,6.32,Search,0.00%,0.00,0.00
property loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
legacy capital funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
full doc loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
business loans for new business,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loan refinance,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard financing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage lending near me,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
r&j capital group,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for freelancers,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for self employed,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
qualify for home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hidden meadow lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
real estate rental property investing,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lendsure bridge loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
american dream loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
instant loan for startup business,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,3.73,3.73,Search,0.00%,0.00,0.00
oasis funds,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
cdfi loans for startups,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
美國 貸款,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge capital,AI Max,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
verus mortgage capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loan officers in california,Broad match,None,Capital Bridge Solutions,DSCR Loans,5,1,20.00%,USD,3.76,3.76,Search,0.00%,0.00,0.00
mortgage lender california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
qualified mortgage loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lendsure dscr,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
private lenders mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
brooklyn bridge capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan requirements,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
housing loan mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money home loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,0.59,0.59,Search,0.00%,0.00,0.00
mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
verus mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loans explained,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
how to get a business loan,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,1,100.00%,USD,10.67,10.67,Search,0.00%,0.00,0.00
i want to invest in real estate,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
everstream mortgage wholesale,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money lender california,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loans usa,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge facility,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
apply for mortgage online,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital funding financial,AI Max,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge loan financial,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
usa capital lender,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
contractor mortgages made easy,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nationwide lending services irvine ca,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mofin lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
commercial real estate construction loan,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
quiq capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
lending home,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
fl hard money lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
portfolio mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,2,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans to purchase a home,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage broker california,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr explained,Phrase match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
new american funding,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nationwide lending services irvine ca,AI Max,None,Capital Bridge Solutions,DSCR Loans,6,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money loans in florida,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
ridge lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
business property mortgage,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
coast to coast funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
qualified mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
nubridge commercial lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
invest in property loans,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgage loan investment,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
micro lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
mortgages loans,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
capital funding partners,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
qualifi mortgage,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
home loan company,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
hard money home lenders,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan rates,Exact match (close variant),None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
djm capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
multiplier capital,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
xpert home lending,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
dscr loan calculator,Phrase match,None,Capital Bridge Solutions,DSCR Loans,3,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
loans for buying a house,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
sterling pacific financial,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
west coast funding,AI Max,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
california mortgage lending,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
bridge debt,Broad match,None,Capital Bridge Solutions,DSCR Loans,1,0,0.00%,USD,0,0.00,Search,0.00%,0.00,0.00
